created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Tue Feb 28 23:59:00 +0000 2023,1630719248933744640,me leaving taylor's studio with 1989 (taylor’s version) up my ass https://t.co/DzawL1jF2q,7,13,315,3230,en,1063051407899705344,1630719248933744640,tisivy,https://twitter.com/tisivy/status/1630719248933744640,
Tue Feb 28 23:50:45 +0000 2023,1630717170496724992,"Marjorie Taylor Greene says it is completely unfair"" that she has a reputation for being ""unintelligent.""  Is Marge unintelligent? https://t.co/MYsateWVqA""",1496,13833,2112,21734,en,819994707061248001,1630717170496724992,CalltoActivism,https://twitter.com/CalltoActivism/status/1630717170496724992,
Tue Feb 28 23:46:19 +0000 2023,1630716055781007360,Who else thinks that Angus Taylor is just operating way beyond his level of competence?,13,124,113,1426,en,1054893957652434944,1630716055781007360,JJKALE2,https://twitter.com/JJKALE2/status/1630716055781007360,
Tue Feb 28 23:43:57 +0000 2023,1630715460441321475,I’m always so impressed with how Taylor is able to create safe spaces for all her guests. It’s really a gift.,3,11,87,1116,en,321648310,1630715460441321475,NekiasNBA,https://twitter.com/NekiasNBA/status/1630715460441321475,
Tue Feb 28 23:33:54 +0000 2023,1630712931707920385,"SENSATIONAL! Marjorie Taylor Greene just TORCHED Georgia's Chief Election Fraud Denier Gabriel Sterling to his face  My ex-husband showed up to vote in the 2020 general election, and was told him he had already voted"" https://t.co/dWalUKGbZe""",86,162,1284,3286,en,1403784319122907136,1630712931707920385,BehizyTweets,https://twitter.com/BehizyTweets/status/1630712931707920385,
Tue Feb 28 23:29:59 +0000 2023,1630711944054276096,forbes retracting their statements after they undermine taylor is my favorite genre https://t.co/6mspT9RWwP,3,1,27,416,en,1459605903657816065,1630711944054276096,taysrep89,https://twitter.com/taysrep89/status/1630711944054276096,
Tue Feb 28 23:21:16 +0000 2023,1630709749502148609,🕯️manifesting to Taylor to bring the Official Tour Merchandise on Tour! 💜 #TSTheErasTour https://t.co/f1XmvlphqA,9,15,89,1413,en,1020011472301314048,1630709749502148609,TSTheErasTour,https://twitter.com/TSTheErasTour/status/1630709749502148609,
Tue Feb 28 23:15:18 +0000 2023,1630708248520323074,Mathorie Taylor Greene is really struggling... https://t.co/C1xHPQqezo,51,246,187,1089,en,171943456,1630708248520323074,iamgabesanchez,https://twitter.com/iamgabesanchez/status/1630708248520323074,
Tue Feb 28 23:03:23 +0000 2023,1630705250796556288,Celeste Taylor has been named the ACC Defensive Player of the Year! https://t.co/fVDMHiII9U,1,1,18,348,en,818670672880738304,1630705250796556288,BlueDevils,https://twitter.com/BlueDevils/status/1630705250796556288,
Tue Feb 28 22:46:12 +0000 2023,1630700925047144449,i just realized that taylor nation could start dming some of you opening nighters with seat upgrades and special things in the next week or so omg,21,29,29,650,en,816492635690975232,1630700925047144449,picturetokurn,https://twitter.com/picturetokurn/status/1630700925047144449,
Tue Feb 28 22:39:03 +0000 2023,1630699127029002241,'The maths are hard': Marjorie Taylor Greene mocked for not understanding what 'seized' means https://t.co/MlT0EO5IxS,13,27,116,460,en,55060090,1630699127029002241,realTuckFrumper,https://twitter.com/realTuckFrumper/status/1630699127029002241,
Tue Feb 28 22:26:01 +0000 2023,1630695846890070018,"📖| A new biographical children’s book about Taylor Swift titled, “Taylor Swift: The Little Golden Book” has topped the bestsellers charts on Amazon, more than two months before its release date (May 2).  The biography discusses topics such as where she grew up and her career! https://t.co/17IfXDS7fA",26,11,101,889,en,1355224137690734597,1630695846890070018,swifferupdates,https://twitter.com/swifferupdates/status/1630695846890070018,
Tue Feb 28 22:21:42 +0000 2023,1630694762125688833,Taylor Swift ¿sabes que el viernes sacas Speak Now Taylor’s Version?  https://t.co/0o2gqeUzvu,24,10,223,1916,en,154105107,1630694762125688833,taylorswiftes_,https://twitter.com/taylorswiftes_/status/1630694762125688833,
Tue Feb 28 22:20:53 +0000 2023,1630694557041020931,"is selling physical copies (aka REAL sales) a bad thing now? lmao if you has to resort to if"" to drag someone then you're not dragging them, taylor is extremely ahead in total units on US and if we compare global sales the gap is even wider, and that's a 2nd album vs a 10th, bfr https://t.co/50ekDyZYwa""",0,7,70,586,en,1549828792071471105,1630694557041020931,everhoaxx,https://twitter.com/everhoaxx/status/1630694557041020931,
Tue Feb 28 22:20:37 +0000 2023,1630694488526995458,BREAKING: The New York Times is still investigating Tri Star and even attended a hearing in Lou Taylor’s employment discrimination case! #JusticeForBritney https://t.co/Xhbgj4v9yB,22,32,203,851,en,1410701165851971595,1630694488526995458,BritneyTheStan,https://twitter.com/BritneyTheStan/status/1630694488526995458,
Tue Feb 28 22:15:02 +0000 2023,1630693081497448448,Strong showing for Celeste Taylor in ACC postseason awards!!  🍿 ACC DPOY 🍿 All-ACC First Team 🍿 ACC All-Defensive team https://t.co/HoNXyulxGB,8,6,52,442,en,23799383,1630693081497448448,DukeWBB,https://twitter.com/DukeWBB/status/1630693081497448448,
Tue Feb 28 22:13:06 +0000 2023,1630692596891672576,DJ Moore has tried to catch passes from these QBs in his NFL career  147 from Sam Darnold 128 from Cam Newton 115 from Kyle Allen 102 from Teddy Bridgewater 65 from PJ Walker 46 from Baker Mayfield 8 from Taylor Heinicke 2 from Will Grier 2 from Garrett Gilbert 1 from Jacob Eason https://t.co/BVLrXtNpu0,33,21,45,467,en,68758745,1630692596891672576,SharpFootball,https://twitter.com/SharpFootball/status/1630692596891672576,
Tue Feb 28 22:03:58 +0000 2023,1630690296572051456,YES. Biden destroying Marjorie Taylor Greene with one gesture. https://t.co/B2UH11vMgC,92,294,1123,7349,en,27491578,1630690296572051456,NancyLeeGrahn,https://twitter.com/NancyLeeGrahn/status/1630690296572051456,
Tue Feb 28 22:03:29 +0000 2023,1630690175821987849,"This account has been under sustained attack since Friday by Trudeau loyalists.  If you're following this account, thank you for your support.  Keep calm and support Conservatism.",6,114,90,1788,en,14678279,1630690175821987849,stephen_taylor,https://twitter.com/stephen_taylor/status/1630690175821987849,
Tue Feb 28 21:55:02 +0000 2023,1630688050467545095,Taylor Lorenz is disabled the same way that Rachel Dolezal is black https://t.co/YNjtBy1YUV,1,46,66,1207,en,1461955797525565440,1630688050467545095,DeathCripps,https://twitter.com/DeathCripps/status/1630688050467545095,
Tue Feb 28 21:51:09 +0000 2023,1630687073052119040,@taylornation13 the Taylor Swift Eras era is so fun 🤪🫶🏻✨ #TSTheErasTour,2,32,52,1100,en,1538993603585916930,1630685793516675074,allieatmidnight,https://twitter.com/allieatmidnight/status/1630687073052119040,taylornation13
Tue Feb 28 21:49:13 +0000 2023,1630686586441531392,"@Acyn Republicans are having a really hard time in congressional hearings today! First, Jamie Raskin owns Lauren Boebert and now Marjorie Taylor Greene owns herself.   These two she-devils can't stand each other, but maybe they should go out for a drink tonight and commiserate. https://t.co/Dw6tufWQdD",4,25,126,679,en,110466097,1630685707302998016,RussOnPolitics,https://twitter.com/RussOnPolitics/status/1630686586441531392,Acyn
Tue Feb 28 21:49:10 +0000 2023,1630686574487928832,"BREAKING: Rep. Eric Swalwell rips Marjorie Taylor Greene for blaming Biden for fentanyl overdoses, says she's divorced from reality"" and she wants to ""beat up on"" Biden but it's actually China that ""has blood on its hands"" because they're producing the drugs. RT IF HE NAILED IT!""",11,56,700,2089,en,878284831,1630686574487928832,OccupyDemocrats,https://twitter.com/OccupyDemocrats/status/1630686574487928832,
Tue Feb 28 21:39:01 +0000 2023,1630684020504764416,Had a great conversation with Bengals HC Zac Taylor https://t.co/IKH2ooDEFQ,2,7,23,757,en,3378926315,1630684020504764416,Wrightreportt,https://twitter.com/Wrightreportt/status/1630684020504764416,
Tue Feb 28 21:38:43 +0000 2023,1630683945045049344,"Bengals head coach Zac Taylor laughs off nonsense"" of Tee Higgins trade rumors https://t.co/VvSBjGn2nZ""",4,4,49,599,en,22309353,1630683945045049344,Trags,https://twitter.com/Trags/status/1630683945045049344,
Tue Feb 28 21:25:00 +0000 2023,1630680491774087168,"The hypocrisy of the LNP is on show with @AngusTaylorMP in a train wreck interview with @mjrowland68  Taylor refused to commit to repealing Labor’s super tax changes if they ever return to power. The bluster, lies, and concern for multi millionaires exposed as political spin!",6,44,210,959,en,2490890594,1630680491774087168,DougCameron51,https://twitter.com/DougCameron51/status/1630680491774087168,"AngusTaylorMP, mjrowland68"
Tue Feb 28 21:20:14 +0000 2023,1630679291150073856,"To the people of Georgia's 14th congressional district that voted for Marjorie Taylor Green, FUCK YOU and the horse you rode in on.   And to my Brother who is a devout MAGA moron who lives there FUCK YOU, YOU FUCKING IDIOT!  Fuck You!  That's the tweet, come get me!",14,103,188,1445,en,1299306007135506432,1630679291150073856,C89B489,https://twitter.com/C89B489/status/1630679291150073856,
Tue Feb 28 21:16:36 +0000 2023,1630678378322841602,#Titans HC Mike Vrabel said he’s had conversations with Taylor Lewan on if Lewan still wants to play. Said the plan for Lewan right now is to get healthy. Said they could revisit that conversation later.,3,11,17,616,en,41908847,1630678378322841602,jwyattsports,https://twitter.com/jwyattsports/status/1630678378322841602,
Tue Feb 28 21:13:53 +0000 2023,1630677692717596676,Who thinks Marjorie Taylor Greene was a participant in the insurrection?,18,111,126,1127,en,702577251020382209,1630677692717596676,blueheartedly,https://twitter.com/blueheartedly/status/1630677692717596676,
Tue Feb 28 21:10:18 +0000 2023,1630676794046029825,"Zac Taylor on Cincinnati and wanting to be the head coach of this team: “I love the city… It’s hard to beat what we’ve got, and I enjoy coming to work every single day.” https://t.co/xQCxnHcXdi",1,1,13,511,en,984821395254280192,1630676794046029825,BengalsMarisa,https://twitter.com/BengalsMarisa/status/1630676794046029825,
Tue Feb 28 21:08:32 +0000 2023,1630676348623626246,David Hogg just stuffed Psycho Taylor Greene into a locker.,2,9,124,1646,en,22730752,1630676348623626246,georgehahn,https://twitter.com/georgehahn/status/1630676348623626246,
Tue Feb 28 21:01:18 +0000 2023,1630674528799166464,"The Trump admin quietly awarded $511B in forgivable PPP loans to Jared Kushner, Matt Gaetz, Marjorie Taylor Greene, Lauren Boebert, Elaine Chao, Devin Nunes, Betsy DeVos, Joel Osteen &amp  others. So save the fake outrage over forgiving $10K in student debt for low income Americans.",61,64,1206,2488,en,899044056,1630674528799166464,anyonewantchips,https://twitter.com/anyonewantchips/status/1630674528799166464,
Tue Feb 28 20:58:45 +0000 2023,1630673887112445956,style (taylor’s version) is going to be the end of me,15,2,209,1350,en,1197603644100792320,1630673887112445956,janesreputation,https://twitter.com/janesreputation/status/1630673887112445956,
Tue Feb 28 20:49:26 +0000 2023,1630671542974644224,do yall remember when alycia left the100 to star in fear the walking dead so the fandom collectively made up an entire character called elyza lex played by eliza taylor that will join ftwd universe to be with alicia clark because they were supposed to be the reincarnated clexa? https://t.co/E6PyHu5x8F,17,9,57,455,en,739117141438386177,1630671542974644224,shayaronnie,https://twitter.com/shayaronnie/status/1630671542974644224,
Tue Feb 28 20:47:42 +0000 2023,1630671106804707328,"Following the leak of its 2012 demo, 'Forever Winter (From The Vault)' boosted 65% in daily streams on Spotify yesterday, receiving 82,689 streams.  This is the best day for the song since mid-November!  'RED (Taylor's Version)' by Taylor Swift  received 3.38M streams (+11%)! https://t.co/0ZDNLik5dt",0,14,34,499,en,1460491409018994691,1630671106804707328,SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1630671106804707328,
Tue Feb 28 20:42:14 +0000 2023,1630669728942366725,President Biden calls out Rep. Marjorie Taylor Greene (R-GA) for yelling “Liar!” during the State of the Union and then proceeds to ✝️ himself. https://t.co/8MlMC4WIA0,59,145,342,1375,en,1087380412089987077,1630669728942366725,therecount,https://twitter.com/therecount/status/1630669728942366725,
Tue Feb 28 20:27:52 +0000 2023,1630666114559799296,"me pushing confirm order"" on Taylor's merch shop every single time merch drops. https://t.co/K4dz5gO5NF""",4,3,73,897,en,1366649837354016768,1630666114559799296,bigrapputation,https://twitter.com/bigrapputation/status/1630666114559799296,
Tue Feb 28 20:26:57 +0000 2023,1630665881855447041,"Marjorie Taylor Greene is bigly mad because someone jumped up and yelled at her while she was out to dinner.   This is the same woman who jumped up and screamed “liar” not once, but twice during President Biden’s SOTU.   It’s okay if she does it, but HOW DARE you do it.",4,17,66,307,en,1337069994430128129,1630665881855447041,lisa_liberal,https://twitter.com/lisa_liberal/status/1630665881855447041,
Tue Feb 28 20:26:12 +0000 2023,1630665692943884307,"Marjorie Taylor Greene is upset that she can't go to a restaurant without someone screaming that she's a traitor.  Hey, Marjorie, have you considered not being a traitor?",4,29,112,746,en,774445533008191488,1630665692943884307,middleageriot,https://twitter.com/middleageriot/status/1630665692943884307,
Tue Feb 28 20:18:21 +0000 2023,1630663718638854153,Taylor Hall was such a baby.   He got sniped.  End of story.     https://t.co/VhstfOVb9c,1,34,14,911,en,43775786,1630663718638854153,stoolpresidente,https://twitter.com/stoolpresidente/status/1630663718638854153,
Tue Feb 28 20:13:01 +0000 2023,1630662376931377152,Marjorie Taylor Greene thinks restaurants are more sacred than the floor of Congress. https://t.co/AQckRmmFaC,16,115,137,776,en,1257817367238803456,1630662376931377152,TrendingLiberal,https://twitter.com/TrendingLiberal/status/1630662376931377152,
Tue Feb 28 20:00:02 +0000 2023,1630659109283590144,"Marjorie Taylor Greene: I'm completely against the war in Ukraine....You know who's driving it? It's America. America needs to stop pushing the war in Ukraine."" https://t.co/RnszdHXyxH""",829,4838,595,2847,en,1265761679947771905,1630659109283590144,AccountableGOP,https://twitter.com/AccountableGOP/status/1630659109283590144,
